Days,8:00 - 9:00,9:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 1:00,1:00 - 2:00,2:00 - 3:00,3:00 - 4:00,4:00 - 5:00,5:00 - 6:00,6:00 - 7:00
MON,,,,,,,,,,,
TUE,,BCA40202,BCA40202,,BCA47111 (P)/BCA49112,BCA47111 (P),BCA47111 (P),,,,
WED,,,SBC,AEC00006C,BCA40201,BCA40201,,BCA47113 (P)/BCA49112,BCA47113 (P)/BCA49112,BCA47113 (P)/BCA49112,
THU,,,SBC,,BCA40202,BCA47111 (P)/BCA47113 (P),,BCA47111 (P),BCA47111 (P),BCA47111 (P),
FRI,,,BCA40201,BCA47113 (P),BCA47111 (P),,AEC00006C,BCA47113 (P)/BCA49112,BCA47113 (P)/BCA49112,BCA47113 (P)/BCA49112,
SAT,,BCA40201,BCA40202,BCA47111 (P)/BCA49112,,BCA47111 (P),BCA47113 (P),BCA47113 (P),APTI401,,
